scholar_id,wikipedia_url,birth_year,death_year,evidence_url,method,enriched_at
SCH_ADORNO,https://en.wikipedia.org/wiki/Theodor_W._Adorno,1903,1969,https://en.wikipedia.org/wiki/Theodor_W._Adorno,opensearch_en+tavily_extract,2026-09-17
SCH_AMANPOUR,https://en.wikipedia.org/wiki/Christiane_Amanpour,1958,,https://en.wikipedia.org/wiki/Christiane_Amanpour,tavily_search+tavily_extract,2026-09-17
SCH_BENJAMIN,https://simple.wikipedia.org/wiki/Walter_Benjamin,1892,1940,https://simple.wikipedia.org/wiki/Walter_Benjamin,tavily_search+tavily_extract,2026-09-17
SCH_BENNETT,https://en.wikipedia.org/wiki/James_Gordon_Bennett_Jr.,1841,1918,https://en.wikipedia.org/wiki/James_Gordon_Bennett_Jr.,opensearch_en+tavily_extract,2026-09-17
SCH_BERELSON,https://en.wikipedia.org/wiki/Bernard_Berelson,1912,1979,https://en.wikipedia.org/wiki/Bernard_Berelson,opensearch_en+tavily_extract,2026-09-17
SCH_BERNAYS,https://en.wikipedia.org/wiki/Public_relations_campaigns_of_Edward_Bernays,,,https://en.wikipedia.org/wiki/Public_relations_campaigns_of_Edward_Bernays,tavily_search+no_years,2026-09-17
SCH_BERNSTEIN,https://en.wikipedia.org/wiki/Carl_Bernstein,1944,,https://en.wikipedia.org/wiki/Carl_Bernstein,tavily_search+tavily_extract,2026-09-17
SCH_BLUMER,https://en.wikipedia.org/wiki/Herbert_Blumer,1900,1987,https://en.wikipedia.org/wiki/Herbert_Blumer,opensearch_en+tavily_extract,2026-09-17
SCH_BLUMLER,https://en.wikipedia.org/wiki/Jay_Blumler,1924,2021,https://en.wikipedia.org/wiki/Jay_Blumler,tavily_search+tavily_extract,2026-09-17
SCH_BLY,https://en.wikipedia.org/wiki/Nellie_Bly,1864,1922,https://en.wikipedia.org/wiki/Nellie_Bly,tavily_search+tavily_extract,2026-09-17
SCH_BO_GU,https://en.wikipedia.org/wiki/Bo_Gu,1907,1946,https://en.wikipedia.org/wiki/Bo_Gu,opensearch_en+tavily_extract,2026-09-17
SCH_BRADLEE,https://en.wikipedia.org/wiki/Ben_Bradlee,1921,2014,https://en.wikipedia.org/wiki/Ben_Bradlee,opensearch_en+tavily_extract,2026-09-17
SCH_BURSON,https://en.wikipedia.org/wiki/Burson_%28company%29,1921,2020,https://en.wikipedia.org/wiki/Burson_%28company%29,opensearch_en+tavily_extract,2026-09-17
SCH_BYOIR,https://en.wikipedia.org/wiki/Carl_R._Byoir,1886,1957,https://en.wikipedia.org/wiki/Carl_R._Byoir,opensearch_en+tavily_extract,2026-09-17
