book_id,wikipedia_url,found_year,year_status,evidence_url,enriched_at
BOOK_1984,,,no_wiki_hit,,2026-09-17
BOOK_AMUSING_OURSELVES,,,no_wiki_hit,,2026-09-17
BOOK_AREOPAGITICA,https://en.wikipedia.org/wiki/Areopagitica,1644,verified,https://en.wikipedia.org/wiki/Areopagitica,2026-09-17
BOOK_BIAS_COMMUNICATION,,,no_wiki_hit,,2026-09-17
BOOK_CHINA_NEWS_HISTORY,,,no_wiki_hit,,2026-09-17
BOOK_CHINESE_PRESS_HISTORY,,,no_wiki_hit,,2026-09-17
BOOK_COMMUNICATION_COURSE,,,no_wiki_hit,,2026-09-17
BOOK_COMMUNICATION_EMPIRE,,,no_wiki_hit,,2026-09-17
BOOK_COMMUNICATION_PERSUASION,,,no_wiki_hit,,2026-09-17
BOOK_CONVERGENCE_CULTURE,,,no_wiki_hit,,2026-09-17
BOOK_CRYSTALLIZING_PUBLIC_OPINION,https://en.wikipedia.org/wiki/Crystallizing_Public_Opinion,1923,verified,https://en.wikipedia.org/wiki/Crystallizing_Public_Opinion,2026-09-17
BOOK_CULTURE_SOCIETY,https://en.wikipedia.org/wiki/Culture_and_Society,1958,verified,https://en.wikipedia.org/wiki/Culture_and_Society,2026-09-17
BOOK_CYBERNETICS,https://en.wikipedia.org/wiki/Cybernetics:_Or_Control_and_Communication_in_the_Animal_and_the_Machine,1948,verified,https://en.wikipedia.org/wiki/Cybernetics:_Or_Control_and_Communication_in_the_Animal_and_the_Machine,2026-09-17
BOOK_DIALECTIC_ENLIGHTENMENT,https://en.wikipedia.org/wiki/Dialectic_of_Enlightenment,1947,mismatch,https://en.wikipedia.org/wiki/Dialectic_of_Enlightenment,2026-09-17
BOOK_DIFFUSION_INNOVATIONS,https://en.wikipedia.org/wiki/Diffusion_of_innovations,,no_year_found,https://en.wikipedia.org/wiki/Diffusion_of_innovations,2026-09-17
BOOK_DIGITAL_CAPITALISM,,,no_wiki_hit,,2026-09-17
BOOK_ENCODING_DECODING,,,no_wiki_hit,,2026-09-17
BOOK_ESCAPE_FROM_FREEDOM,https://en.wikipedia.org/wiki/Escape_from_Freedom,1941,verified,https://en.wikipedia.org/wiki/Escape_from_Freedom,2026-09-17
BOOK_FILTER_BUBBLE,,,no_wiki_hit,,2026-09-17
BOOK_FRAME_ANALYSIS,,,no_wiki_hit,,2026-09-17
BOOK_GROUPTHINK,,,no_wiki_hit,,2026-09-17
BOOK_GUTENBERG_GALAXY,https://en.wikipedia.org/wiki/The_Gutenberg_Galaxy,1962,verified,https://en.wikipedia.org/wiki/The_Gutenberg_Galaxy,2026-09-17
BOOK_HERE_COMES_EVERYBODY,https://en.wikipedia.org/wiki/Here_Comes_Everybody:_The_Power_of_Organizing_Without_Organizations,2008,verified,https://en.wikipedia.org/wiki/Here_Comes_Everybody:_The_Power_of_Organizing_Without_Organizations,2026-09-17
BOOK_HISTORY_STANDARD_OIL,https://en.wikipedia.org/wiki/The_History_of_the_Standard_Oil_Company,1904,verified,https://en.wikipedia.org/wiki/The_History_of_the_Standard_Oil_Company,2026-09-17
BOOK_HUMAN_NATURE_SOCIAL_ORDER,,,no_wiki_hit,,2026-09-17
BOOK_INTERNET_COMMUNICATION_INTRO,,,no_wiki_hit,,2026-09-17
BOOK_IN_COLD_BLOOD,https://en.wikipedia.org/wiki/In_Cold_Blood,1966,verified,https://en.wikipedia.org/wiki/In_Cold_Blood,2026-09-17
BOOK_JOURNALISM_INTRODUCTION,,,no_wiki_hit,,2026-09-17
BOOK_LONELY_CROWD,https://en.wikipedia.org/wiki/The_Lonely_Crowd,1950,verified,https://en.wikipedia.org/wiki/The_Lonely_Crowd,2026-09-17
BOOK_MAKING_ENGLISH_WORKING_CLASS,,,no_wiki_hit,,2026-09-17
BOOK_MANUFACTURING_CONSENT,,,no_wiki_hit,,2026-09-17
BOOK_MASS_COMMUNICATION_THEORY,,,no_wiki_hit,,2026-09-17
BOOK_MATHEMATICAL_COMMUNICATION,https://en.wikipedia.org/wiki/A_Mathematical_Theory_of_Communication,1948,verified,https://en.wikipedia.org/wiki/A_Mathematical_Theory_of_Communication,2026-09-17
BOOK_MECHANICAL_REPRODUCTION,https://en.wikipedia.org/wiki/The_Work_of_Art_in_the_Age_of_Mechanical_Reproduction#bodyContent,,no_year_found,https://en.wikipedia.org/wiki/The_Work_of_Art_in_the_Age_of_Mechanical_Reproduction#bodyContent,2026-09-17
BOOK_MIND_SELF_SOCIETY,"https://en.wikipedia.org/wiki/Mind,_Self_and_Society",1934,verified,"https://en.wikipedia.org/wiki/Mind,_Self_and_Society",2026-09-17
BOOK_NAHAN,,,no_wiki_hit,,2026-09-17
BOOK_NETWORK_SOCIETY,,,no_wiki_hit,,2026-09-17
BOOK_NEWS_THEORY_TEN_LECTURES,,,no_wiki_hit,,2026-09-17
BOOK_NORTHWEST_CORNER,,,no_wiki_hit,,2026-09-17
BOOK_NO_SENSE_OF_PLACE,,,no_wiki_hit,,2026-09-17
BOOK_ONE_DIMENSIONAL_MAN,https://en.wikipedia.org/wiki/One-Dimensional_Man,1964,verified,https://en.wikipedia.org/wiki/One-Dimensional_Man,2026-09-17
BOOK_ORAL_WRITTEN_CULTURE,,,no_wiki_hit,,2026-09-17
BOOK_PEOPLES_CHOICE,https://en.wikipedia.org/wiki/People%27s_Choice,,no_year_found,https://en.wikipedia.org/wiki/People%27s_Choice,2026-09-17
BOOK_PERSONAL_INFLUENCE,,,no_wiki_hit,,2026-09-17
BOOK_POLITICAL_ECONOMY_COMMUNICATION,,,no_wiki_hit,,2026-09-17
BOOK_PREFACE_PLATO,,,no_wiki_hit,,2026-09-17
BOOK_PROPAGANDA_TECHNIQUE,,,no_wiki_hit,,2026-09-17
BOOK_PUBLIC_AND_PROBLEMS,https://en.wikipedia.org/wiki/The_Public_and_Its_Problems,1927,verified,https://en.wikipedia.org/wiki/The_Public_and_Its_Problems,2026-09-17
BOOK_PUBLIC_OPINION,https://en.wikipedia.org/wiki/Public_Opinion_(book),1922,verified,https://en.wikipedia.org/wiki/Public_Opinion_(book),2026-09-17
BOOK_RED_STAR,https://en.wikipedia.org/wiki/Red_Star_Over_China,1937,verified,https://en.wikipedia.org/wiki/Red_Star_Over_China,2026-09-17
BOOK_REPUBLIC_COM,,,no_wiki_hit,,2026-09-17
BOOK_SHENGSHI_WEIYAN,,,no_wiki_hit,,2026-09-17
