scholar_id,name_zh,name_en,description_zh,school_id,active_year
SCH_LIPPMANN,李普曼,Walter Lippmann,美国作家、记者、政治评论家，代表作《舆论学》。,SCHOOL_JOURNALISM,1922
SCH_SCHRAMM,施拉姆,Wilbur Schramm,美国传播学者，常被称为「传播学之父」。,SCHOOL_COLUMBIA,1948
SCH_LAZARSFELD,拉扎斯菲尔德,Paul Lazarsfeld,奥地利裔美国社会学家，哥伦比亚学派奠基人，开创实证传播研究。,SCHOOL_COLUMBIA,1944
SCH_MCLUHAN,麦克卢汉,Marshall McLuhan,加拿大学者，现代传播理论的重要代表。,SCHOOL_TORONTO,1964
SCH_INNIS,伊尼斯,Harold Innis,加拿大经济历史学家，传播政治经济学奠基人，麦克卢汉的导师。,SCHOOL_TORONTO,1950
SCH_POSTMAN,波兹曼,Neil Postman,媒介环境学派代表人物，批评电视文化。,SCHOOL_MEDIA_ECOLOGY,1985
SCH_LASSWELL,拉斯韦尔,Harold Lasswell,传播学四大奠基人之一，提出「5W模式」和宣传分析。,SCHOOL_CHICAGO,1948
SCH_LEWIN,卢因,Kurt Lewin,传播学四大奠基人之一，提出「把关人」理论。,SCHOOL_GROUP_DYNAMICS,1947
SCH_HOVLAND,霍夫兰,Carl Hovland,传播学四大奠基人之一，耶鲁学派领袖，研究说服与态度改变。,SCHOOL_YALE,1953
SCH_KATZ,卡茨,Elihu Katz,《个人影响》合著者，后提出「使用与满足」理论。,SCHOOL_COLUMBIA,1955
SCH_MCCOMBS,麦库姆斯,Maxwell McCombs,提出「议程设置」理论。,SCHOOL_AGENDA,1972
SCH_NOELLE_NEUMANN,诺依曼,Elisabeth Noelle-Neumann,提出「沉默的螺旋」理论。,SCHOOL_GERMAN,1974
SCH_GERBNER,格伯纳,George Gerbner,提出「涵化理论」（培养分析）。,SCHOOL_CULTIVATION,1976
SCH_ROGERS,罗杰斯,Everett Rogers,传播学学者，创新扩散理论之父。,SCHOOL_DIFFUSION,1962
SCH_CAREY,凯里,James Carey,传播的仪式观。,SCHOOL_CULTURAL_STUDIES,1975
SCH_HABERMAS,哈贝马斯,Jürgen Habermas,德国当代哲学家与社会学家之一，关联「公共领域」等议题。,SCHOOL_FRANKFURT,1962
SCH_PULITZER,普利策,Joseph Pulitzer,现代报业大亨，新闻专业主义的推动者，普利策奖设立者。,SCHOOL_PENNY_PRESS,1904
SCH_BENNETT,贝内特,James Gordon Bennett,《纽约先驱报》创办人，确立了新闻的商业化与客观报道雏形。,SCHOOL_PENNY_PRESS,1835
SCH_GREELEY,格里利,Horace Greeley,《纽约论坛报》创办人，著名的社论撰写者。,SCHOOL_PENNY_PRESS,1841
SCH_RAYMOND,雷蒙德,Henry Raymond,《纽约时报》创办人，确立了理性、详实的报道风格。,SCHOOL_QUALITY_PRESS,1851
SCH_OCHS,奥克斯,Adolph Ochs,《纽约时报》复兴者，确立「刊登一切适于发表的新闻」之座右铭。,SCHOOL_QUALITY_PRESS,1896
SCH_HEARST,赫斯特,William Randolph Hearst,报业大亨，黄色新闻代表人物，原型为《公民凯恩》。,SCHOOL_YELLOW_PRESS,1895
SCH_LUCE,卢斯,Henry Luce,《时代》《生活》《财富》创办人，构建了「时代华纳」帝国雏形。,SCHOOL_MAGAZINE,1923
SCH_MURROW,默罗,Edward R. Murrow,广播电视新闻鼻祖，以二战伦敦报道和对抗麦卡锡主义闻名。,SCHOOL_BROADCAST,1940
SCH_CRONKITE,克朗凯特,Walter Cronkite,CBS主播，被称为「美国最值得信赖的人」。,SCHOOL_BROADCAST,1960
SCH_BRADLEE,布拉德利,Ben Bradlee,《华盛顿邮报》传奇主编，主导五角大楼文件报道。,SCHOOL_JOURNALISM,1971
SCH_WOODWARD,伍德沃德,Bob Woodward,水门事件揭露者，调查记者标杆。,SCHOOL_JOURNALISM,1972
SCH_BERNSTEIN,伯恩斯坦,Carl Bernstein,水门事件揭露者。,SCHOOL_JOURNALISM,1972
SCH_AMANPOUR,阿曼普,Christiane Amanpour,CNN首席国际特派员，战地玫瑰。,SCHOOL_JOURNALISM,1990
SCH_FALLACI,法拉奇,Oriana Fallaci,意大利女记者，以犀利的政治采访著称。,SCHOOL_JOURNALISM,1970
SCH_SNOW,斯诺,Edgar Snow,《红星照耀中国》作者。,SCHOOL_JOURNALISM,1937
SCH_SMEDLEY,史沫特莱,Agnes Smedley,美国左翼记者，报道中国革命。,SCHOOL_JOURNALISM,1930
SCH_EPSTEIN,爱泼斯坦,Israel Epstein,中国籍波兰裔记者，新华社专家。,SCHOOL_JOURNALISM,1940
SCH_ORWELL,奥威尔,George Orwell,记者，反极权主义作家，《1984》。,SCHOOL_JOURNALISM,1949
SCH_HEMINGWAY,海明威,Ernest Hemingway,著名战地记者，电报体风格影响新闻写作。,SCHOOL_JOURNALISM,1936
SCH_LIEBLING,李布林,A.J. Liebling,《纽约客》著名记者，报刊批评家。,SCHOOL_JOURNALISM,1940
SCH_DIDION,狄迪恩,Joan Didion,新新闻主义代表，特稿写作。,SCHOOL_JOURNALISM,1968
SCH_CAPOTE,卡波特,Truman Capote,《冷血》，非虚构小说先驱。,SCHOOL_JOURNALISM,1966
SCH_WOLFE,沃尔夫,Tom Wolfe,新新闻主义教父。,SCHOOL_JOURNALISM,1973
SCH_THOMPSON,汤普森,Hunter S. Thompson,贡佐新闻（Gonzo Journalism）。,SCHOOL_JOURNALISM,1970
SCH_BLY,奈莉·布莱,Nellie Bly,隐形采访先驱，环游世界80天。,SCHOOL_JOURNALISM,1889
SCH_WELLS,艾达·威尔斯,Ida B. Wells,反私刑调查记者，民权先驱。,SCHOOL_JOURNALISM,1892
SCH_TARBELL,塔贝尔,Ida Tarbell,揭露美孚石油垄断，扒粪运动代表。,SCHOOL_JOURNALISM,1904
SCH_STEFFENS,斯蒂芬斯,Lincoln Steffens,《城市的耻辱》，扒粪记者。,SCHOOL_JOURNALISM,1904
SCH_MILTON,弥尔顿,John Milton,《论出版自由》作者，提出「观点的公开市场」和「自我修正」理论。,SCHOOL_LIBERTARIAN,1644
SCH_LOCKE,洛克,John Locke,天赋人权论者，其思想奠定了新闻自由的哲学基础。,SCHOOL_LIBERTARIAN,1689
SCH_JEFFERSON,杰斐逊,Thomas Jefferson,美国第三任总统，名言「宁要无政府的报纸，不要无报纸的政府」。,SCHOOL_LIBERTARIAN,1787
SCH_IVY_LEE,艾维·李,Ivy Lee,现代公关之父，提出《原则宣言》，主张「说真话」。,SCHOOL_PR,1906
SCH_BERNAYS,伯奈斯,Edward Bernays,公关咨询之父，弗洛伊德的外甥，著有《舆论的结晶》。,SCHOOL_PR,1923
SCH_WANG_TAO,王韬,Wang Tao,中国近代报刊之父，创办《循环日报》，提出「变法自强」。,SCHOOL_CN_EARLY,1874
