passage_id,source_id,source_title,source_url,source_type,published_year,passage_text,locator
PAS_0001,SRC_0001,百度百科：李普曼,https://baike.baidu.com/item/沃尔特·李普曼,encyclopedia,2023,沃尔特·李普曼（Walter Lippmann，1889年9月23日—1974年12月14日），美国作家、记者、政治评论家，传播学史上具有重要影响的学者之一。他的代表作《舆论学》（Public Opinion）被视为传播学领域的奠基之作。,概述段落
PAS_0002,SRC_0002,百度百科：麦克卢汉,https://baike.baidu.com/item/马歇尔·麦克卢汉,encyclopedia,2023,麦克卢汉深受伊尼斯的影响，后者是多伦多大学的经济学家和传播学家。伊尼斯在研究中关注传播媒介对社会组织形式的影响，这一思想被麦克卢汉继承和发展。,人物关系段落
PAS_0003,SRC_0003,百度百科：施拉姆,https://baike.baidu.com/item/威尔伯·施拉姆,encyclopedia,2023,威尔伯·施拉姆（Wilbur Schramm）是美国著名传播学者，被誉为「传播学之父」。他创建了世界上第一个大学传播学研究机构，培养了大批传播学人才。,概述段落
PAS_0004,SRC_0004,百度百科：拉扎斯菲尔德,https://baike.baidu.com/item/保罗·拉扎斯菲尔德,encyclopedia,2023,保罗·拉扎斯菲尔德是奥地利裔美国社会学家，哥伦比亚学派的奠基人。他开创了实证传播研究方法，主持了著名的「人民的选择」研究。,概述段落
PAS_0005,SRC_0005,百度百科：哈贝马斯,https://baike.baidu.com/item/于尔根·哈贝马斯,encyclopedia,2023,于尔根·哈贝马斯是德国当代最重要的哲学家和社会学家之一，法兰克福学派的代表人物。他提出的「公共领域」概念对传播学产生了深远影响。,概述段落
PAS_0006,SRC_0006,百度百科：普利策,https://baike.baidu.com/item/约瑟夫·普利策,encyclopedia,2023,约瑟夫·普利策（Joseph Pulitzer）是美国报业巨头，以其名字命名的普利策奖是美国新闻界最高荣誉。他推动了新闻专业主义的发展。,概述段落
PAS_0007,SRC_0007,百度百科：梁启超,https://baike.baidu.com/item/梁启超,encyclopedia,2023,梁启超是中国近代思想启蒙家，维新派报刊活动家。他主编《时务报》，提出「去塞求通」的办报理念，对中国近代新闻事业产生深远影响。,新闻活动段落
PAS_0008,SRC_0008,百度百科：张季鸾,https://baike.baidu.com/item/张季鸾,encyclopedia,2023,张季鸾是《大公报》总编辑，他提出的「不党、不卖、不私、不盲」四不主义成为中国新闻界的职业准则。,四不主义段落
PAS_0009,SRC_0009,百度百科：邵飘萍,https://baike.baidu.com/item/邵飘萍,encyclopedia,2023,邵飘萍是《京报》创办者，以「铁肩辣手」著称。他是中国新闻摄影的先驱，1926年被军阀张作霖杀害。,生平段落
PAS_0010,SRC_0010,百度百科：议程设置理论,https://baike.baidu.com/item/议程设置理论,encyclopedia,2023,议程设置理论由麦库姆斯和肖于1972年提出，认为大众媒介通过报道议题能够影响公众认知问题重要性的顺序。,理论概述段落
PAS_0011,SRC_0011,百度百科：阿多诺,https://baike.baidu.com/item/西奥多·阿多诺,encyclopedia,2023,西奥多·阿多诺是法兰克福学派核心成员，与霍克海默合著《启蒙辩证法》，提出「文化工业」概念，批判大众文化的商品化和标准化对人的异化。,文化工业段落
PAS_0012,SRC_0012,百度百科：霍克海默,https://baike.baidu.com/item/马克斯·霍克海默,encyclopedia,2023,马克斯·霍克海默是法兰克福学派创始人，提出「批判理论」，批判工具理性对人类解放的阻碍，主张恢复理性的批判维度。,批判理论段落
PAS_0013,SRC_0013,百度百科：马尔库塞,https://baike.baidu.com/item/赫伯特·马尔库塞,encyclopedia,2023,赫伯特·马尔库塞是法兰克福学派代表人物，《单向度的人》批判发达工业社会如何通过技术理性和消费主义消解人的否定性思维。,单向度的人段落
PAS_0014,SRC_0014,百度百科：本雅明,https://baike.baidu.com/item/瓦尔特·本雅明,encyclopedia,2023,瓦尔特·本雅明是德国思想家，《机械复制时代的艺术作品》分析技术复制如何改变艺术的「灵韵」及其社会功能，影响深远。,艺术作品段落
PAS_0015,SRC_0015,百度百科：弗洛姆,https://baike.baidu.com/item/埃里希·弗洛姆,encyclopedia,2023,埃里希·弗洛姆是人本主义精神分析学家，法兰克福学派成员。《逃避自由》分析现代人面对自由时的心理机制及其与极权主义的关系。,逃避自由段落
PAS_0034,SRC_0034,百度百科：弥尔顿,https://baike.baidu.com/item/约翰·弥尔顿,encyclopedia,2023,约翰·弥尔顿（John Milton，1608-1674）是英国诗人、思想家。1644年发表《论出版自由》（Areopagitica），反对书报审查制度，主张出版自由，成为新闻自由思想的奠基之作。,出版自由段落
PAS_0035,SRC_0035,百度百科：杰斐逊,https://baike.baidu.com/item/托马斯·杰斐逊,encyclopedia,2023,托马斯·杰斐逊（Thomas Jefferson，1743-1826）是美国第三任总统，《独立宣言》起草人。他坚定支持新闻自由，认为「没有报刊批评的政府不如没有政府的报刊」，推动《权利法案》确立新闻自由。,新闻自由段落
PAS_0036,SRC_0036,百度百科：本杰明·戴,https://baike.baidu.com/item/便士报,encyclopedia,2023,詹姆斯·戈登·贝内特（James Gordon Bennett，1795-1872）于1835年创办《纽约先驱报》，开创商业化新闻模式，强调独立办报、面向大众、以广告为主要收入来源，是现代商业报纸的先驱。,便士报段落
PAS_0037,SRC_0037,百度百科：塔贝尔,https://baike.baidu.com/item/艾达·塔贝尔,encyclopedia,2023,艾达·塔贝尔（Ida Tarbell，1857-1944）是美国调查记者，「扒粪运动」代表人物。她于1904年发表《美孚石油公司史》，揭露洛克菲勒垄断行为，推动反垄断立法。,扒粪运动段落
PAS_0038,SRC_0038,百度百科：默罗,https://baike.baidu.com/item/爱德华·默罗,encyclopedia,2023,爱德华·默罗（Edward R. Murrow，1908-1965）是美国广播新闻先驱，CBS著名记者。他在二战期间从伦敦发回现场报道，后以电视节目《现在请看》揭露麦卡锡主义，被誉为广播新闻之父。,广播新闻段落
PAS_0039,SRC_0039,百度百科：伍德沃德,https://baike.baidu.com/item/鲍勃·伍德沃德,encyclopedia,2023,鲍勃·伍德沃德（Bob Woodward，1943-）是《华盛顿邮报》调查记者。1972年与伯恩斯坦揭露水门事件，导致尼克松总统辞职，成为调查新闻的标志性事件，强化了新闻作为「第四权力」的监督功能。,水门事件段落
PAS_0040,SRC_0040,百度百科：斯图亚特·霍尔,https://baike.baidu.com/item/斯图亚特·霍尔,encyclopedia,2023,斯图亚特·霍尔（Stuart Hall，1932-2014）是英国文化研究学派代表人物。1973年提出「编码/解码」理论，认为媒介文本生产与接收涉及不同的意义框架，受众可以进行对抗性解读。,编码解码段落
PAS_0041,SRC_0041,百度百科：曼纽尔·卡斯特,https://baike.baidu.com/item/曼纽尔·卡斯特,encyclopedia,2023,曼纽尔·卡斯特（Manuel Castells，1942-）是西班牙社会学家。1996年出版《网络社会的崛起》，提出信息时代社会结构以网络为基础，权力和财富在全球网络节点间流动。,网络社会段落
PAS_0042,SRC_0042,百度百科：尼尔·波兹曼,https://baike.baidu.com/item/尼尔·波兹曼,encyclopedia,2023,尼尔·波兹曼（Neil Postman，1931-2003）是美国媒介生态学家。1985年出版《娱乐至死》，批判电视将公共话语娱乐化，警示媒介技术对民主政治和理性思维的消解。,娱乐至死段落
PAS_0043,SRC_0043,百度百科：诺姆·乔姆斯基,https://baike.baidu.com/item/诺姆·乔姆斯基,encyclopedia,2023,诺姆·乔姆斯基（Noam Chomsky，1928-）是美国语言学家和公共知识分子。1988年与赫尔曼合著《制造共识》，提出「宣传模式」理论，分析大众媒体如何为精英利益服务。,制造共识段落
PAS_0044,SRC_0044,百度百科：艾维·李,https://baike.baidu.com/item/艾维·李,encyclopedia,2023,艾维·李（Ivy Lee，1877-1934）是现代公共关系之父。1906年发表《原则宣言》，主张企业应公开、诚实地与公众沟通，开创了现代公共关系行业。,现代公关段落
