influence_id,subject_type,subject_id,object_type,object_id,evidence_passage_id,year,note_zh
INF_0001,Scholar,SCH_MCLUHAN,Scholar,SCH_INNIS,PAS_0002,1964,麦克卢汉深受导师伊尼斯的传播思想影响。
INF_0002,Scholar,SCH_POSTMAN,Scholar,SCH_MCLUHAN,PAS_0002,1985,波兹曼继承并发展了麦克卢汉的媒介环境学思想。
INF_0003,Scholar,SCH_KATZ,Scholar,SCH_LAZARSFELD,PAS_0004,1955,卡茨与拉扎斯菲尔德合著《个人影响》，是其学术传承。
INF_0004,Scholar,SCH_HABERMAS,Scholar,SCH_LIPPMANN,PAS_0005,1962,哈贝马斯的公共领域理论受到李普曼舆论研究的启发。
INF_0005,Scholar,SCH_HALL,Scholar,SCH_HABERMAS,PAS_0005,1973,霍尔的编码/解码理论受到法兰克福学派批判理论的影响。
INF_0006,Scholar,SCH_SCHRAMM,Scholar,SCH_LASSWELL,PAS_0003,1948,施拉姆整合拉斯韦尔的5W模式建立传播学学科体系。
INF_0007,Scholar,SCH_SCHRAMM,Scholar,SCH_LAZARSFELD,PAS_0003,1948,施拉姆综合拉扎斯菲尔德的实证方法创建传播学。
INF_0008,Scholar,SCH_SCHRAMM,Scholar,SCH_LEWIN,PAS_0003,1948,施拉姆吸收卢因的群体动力学理论发展传播研究。
INF_0009,Scholar,SCH_SCHRAMM,Scholar,SCH_HOVLAND,PAS_0003,1948,施拉姆借鉴霍夫兰的说服研究构建传播学框架。
INF_0010,Scholar,SCH_MCCOMBS,Scholar,SCH_LIPPMANN,PAS_0010,1972,麦库姆斯的议程设置理论直接源于李普曼的拟态环境概念。
INF_0011,Scholar,SCH_NOELLE_NEUMANN,Scholar,SCH_LAZARSFELD,PAS_0021,1974,诺依曼的沉默螺旋理论受到哥伦比亚学派舆论研究启发。
INF_0012,Scholar,SCH_GERBNER,Scholar,SCH_LAZARSFELD,PAS_0022,1976,格伯纳的涵化理论延续了哥伦比亚学派的媒介效果研究传统。
INF_0013,Scholar,SCH_ROGERS,Scholar,SCH_LAZARSFELD,PAS_0023,1962,罗杰斯的创新扩散理论受到两级传播研究的影响。
INF_0014,Scholar,SCH_ADORNO,Scholar,SCH_HORKHEIMER,PAS_0011,1944,阿多诺与霍克海默合著《启蒙辩证法》，共同发展批判理论。
INF_0015,Scholar,SCH_MARCUSE,Scholar,SCH_HORKHEIMER,PAS_0013,1964,马尔库塞继承霍克海默的批判理论，发展出单向度批判。
INF_0016,Scholar,SCH_BENJAMIN,Scholar,SCH_ADORNO,PAS_0014,1936,本雅明与阿多诺保持密切学术交流，相互影响。
INF_0017,Scholar,SCH_FROMM,Scholar,SCH_HORKHEIMER,PAS_0015,1941,弗洛姆是法兰克福学派成员，受霍克海默批判理论影响。
INF_0018,Scholar,SCH_CHOMSKY,Scholar,SCH_LIPPMANN,PAS_0043,1988,乔姆斯基的制造共识理论批判性地回应李普曼的舆论思想。
INF_0019,Scholar,SCH_HALL,Scholar,SCH_WILLIAMS,PAS_0040,1973,霍尔继承威廉斯的文化研究传统，发展编码/解码理论。
INF_0020,Scholar,SCH_HALL,Scholar,SCH_HOGGART,PAS_0040,1973,霍尔在霍加特创立的伯明翰中心发展文化研究。
INF_0021,Scholar,SCH_MORLEY,Scholar,SCH_HALL,PAS_0049,1980,莫利的受众研究直接验证和发展霍尔的编码/解码理论。
INF_0022,Scholar,SCH_FISKE,Scholar,SCH_HALL,PAS_0050,1989,费斯克继承霍尔的文化研究方法，发展受众积极性理论。
INF_0023,Scholar,SCH_WILLIAMS,Scholar,SCH_HOGGART,PAS_0046,1958,威廉斯与霍加特共同奠定英国文化研究的基础。
INF_0024,Scholar,SCH_LIANG_QICHAO,Scholar,SCH_KANG_YOUWEI,PAS_0007,1898,梁启超是康有为的学生，继承维新变法报刊思想。
INF_0025,Scholar,SCH_CHEN_DUXIU,Scholar,SCH_LIANG_QICHAO,PAS_0027,1915,陈独秀受梁启超报刊启蒙思想影响，创办《新青年》。
INF_0026,Scholar,SCH_LI_DAZHAO,Scholar,SCH_CHEN_DUXIU,PAS_0028,1919,李大钊与陈独秀合作，共同推动马克思主义传播。
INF_0027,Scholar,SCH_MAO_ZEDONG,Scholar,SCH_LI_DAZHAO,PAS_0032,1919,毛泽东受李大钊影响接受马克思主义，发展党报理论。
