proposition_id,scholar_id,proposition_text_zh,year,concept_ids,evidence_passage_ids
PROP_LIPPMANN_1922_A,SCH_LIPPMANN,舆论是公众对于公共事务的看法，人们通过「拟态环境」而非真实环境来认识世界。,1922,CONCEPT_PUBLIC_OPINION;CONCEPT_PSEUDO_ENVIRONMENT,PAS_0001
PROP_MCLUHAN_1964_A,SCH_MCLUHAN,媒介即讯息——媒介本身而非其传递的内容才是真正改变社会的力量。,1964,CONCEPT_MEDIUM_MESSAGE,PAS_0002
PROP_MCLUHAN_1964_B,SCH_MCLUHAN,电子媒介使世界变成一个「地球村」，人类重新回归部落化状态。,1964,CONCEPT_GLOBAL_VILLAGE,PAS_0002
PROP_SCHRAMM_1948_A,SCH_SCHRAMM,传播学是一门独立学科，需要系统的理论建构和实证研究方法。,1948,CONCEPT_PUBLIC_OPINION,PAS_0003
PROP_LAZARSFELD_1944_A,SCH_LAZARSFELD,信息从媒介流向意见领袖，再由意见领袖传播给普通公众（两级传播）。,1944,CONCEPT_TWO_STEP_FLOW,PAS_0004
PROP_HABERMAS_1962_A,SCH_HABERMAS,公共领域是介于国家和社会之间的公共空间，公民在此进行理性讨论和批判。,1962,CONCEPT_PUBLIC_SPHERE,PAS_0005
PROP_PULITZER_1904_A,SCH_PULITZER,新闻业应该是一种公共服务，记者应接受专业教育并遵守职业道德。,1904,CONCEPT_OBJECTIVITY,PAS_0006
PROP_LIANG_1898_A,SCH_LIANG_QICHAO,报刊应当「去塞求通」——打破信息壁垒，沟通上下，启迪民智。,1898,CONCEPT_PRESS_FREEDOM,PAS_0007
PROP_ZHANG_1926_A,SCH_ZHANG_JILUAN,办报应坚持「不党、不卖、不私、不盲」，保持独立与公正。,1926,CONCEPT_OBJECTIVITY,PAS_0008
PROP_SHAO_1918_A,SCH_SHAO_PIAOPING,新闻记者应当「铁肩担道义，辣手著文章」，为民请命。,1918,CONCEPT_FOURTH_ESTATE,PAS_0009
PROP_MCCOMBS_1972_A,SCH_MCCOMBS,媒介可能无法告诉人们怎么想，但能成功地告诉人们想什么（议程设置）。,1972,CONCEPT_AGENDA_SETTING,PAS_0010
PROP_ADORNO_1944_A,SCH_ADORNO,文化工业将艺术商品化，使大众文化成为控制和操纵公众意识的工具。,1944,CONCEPT_PROPAGANDA,PAS_0011
PROP_HORKHEIMER_1937_A,SCH_HORKHEIMER,工具理性的膨胀导致理性异化，启蒙精神走向其反面，成为新的统治形式。,1937,CONCEPT_PROPAGANDA,PAS_0012
PROP_MARCUSE_1964_A,SCH_MARCUSE,发达工业社会通过技术控制和消费主义，将人塑造成「单向度的人」，丧失批判性思维。,1964,CONCEPT_PROPAGANDA,PAS_0013
PROP_BENJAMIN_1936_A,SCH_BENJAMIN,机械复制时代艺术品失去了「灵韵」，但也为艺术的民主化和政治化开辟了可能。,1936,CONCEPT_MEDIUM_MESSAGE,PAS_0014
PROP_FROMM_1941_A,SCH_FROMM,现代人为逃避自由带来的孤独与焦虑，倾向于服从权威或追随群体，放弃个人自主性。,1941,CONCEPT_PUBLIC_OPINION,PAS_0015
PROP_MILTON_1644_A,SCH_MILTON,真理与谬误在公开辩论中交锋，真理必将战胜谬误——这是出版自由的根本理由。,1644,CONCEPT_PRESS_FREEDOM,PAS_0034
PROP_JEFFERSON_1787_A,SCH_JEFFERSON,新闻自由是民主制度的基石，没有报刊批评的政府必将走向专制。,1787,CONCEPT_PRESS_FREEDOM,PAS_0035
PROP_BENNETT_1835_A,SCH_BENNETT,新闻应该摆脱政党控制，以独立、廉价、面向大众的商业模式运营。,1835,CONCEPT_OBJECTIVITY,PAS_0036
PROP_TARBELL_1904_A,SCH_TARBELL,调查性新闻应当揭露企业垄断和政治腐败，为公众利益服务。,1904,CONCEPT_FOURTH_ESTATE,PAS_0037
PROP_MURROW_1940_A,SCH_MURROW,广播新闻应当直面社会问题，记者有责任挑战权威、揭示真相。,1940,CONCEPT_FOURTH_ESTATE,PAS_0038
PROP_WOODWARD_1972_A,SCH_WOODWARD,调查新闻的核心是追查证据链，坚持事实核查，让权力接受监督。,1972,CONCEPT_WATCHDOG,PAS_0039
PROP_HALL_1973_A,SCH_HALL,受众并非被动接受媒介信息，而是根据自身立场进行编码与解码的意义协商。,1973,CONCEPT_ENCODING_DECODING,PAS_0040
PROP_CASTELLS_1996_A,SCH_CASTELLS,信息技术革命催生了网络社会，权力流动于全球网络节点之间。,1996,CONCEPT_NETWORK_SOCIETY,PAS_0041
PROP_POSTMAN_1985_A,SCH_POSTMAN,电视将一切公共话语转化为娱乐形式，我们正在「娱乐至死」。,1985,CONCEPT_MEDIA_ECOLOGY,PAS_0042
PROP_CHOMSKY_1988_A,SCH_CHOMSKY,大众媒体通过宣传模式「制造共识」，为精英阶层的利益服务。,1988,CONCEPT_PROPAGANDA_MODEL,PAS_0043
PROP_IVY_LEE_1906_A,SCH_IVY_LEE,公共关系应建立在公开、诚实的原则上，企业有义务向公众披露信息。,1906,CONCEPT_PUBLIC_RELATIONS,PAS_0044
PROP_BERNAYS_1923_A,SCH_BERNAYS,公共关系是「舆论的结晶」工程，通过科学方法引导公众意见。,1923,CONCEPT_PUBLIC_RELATIONS,PAS_0045
PROP_WANG_TAO_1874_A,SCH_WANG_TAO,变法自强——中国欲自强必先变法，而变法必先从报刊开始启迪民智。,1874,CONCEPT_PRESS_FREEDOM,PAS_0024
PROP_KANG_YOUWEI_1895_A,SCH_KANG_YOUWEI,报刊启蒙——报刊为维新变法之利器，可开民智、通下情、振士气。,1895,CONCEPT_PUBLIC_SPHERE,PAS_0025
PROP_YAN_FU_1897_A,SCH_YAN_FU,通上下之情——报刊应沟通上下，使民情达于上，国政达于下。,1897,CONCEPT_PUBLIC_OPINION,PAS_0026
PROP_CHEN_DUXIU_1915_A,SCH_CHEN_DUXIU,新青年与新文化——以青年为对象，倡导民主与科学，推动思想启蒙。,1915,CONCEPT_PUBLIC_SPHERE,PAS_0027
PROP_LI_DAZHAO_1919_A,SCH_LI_DAZHAO,马克思主义传播——通过报刊介绍和传播马克思主义，唤醒中国青年。,1919,CONCEPT_PROPAGANDA,PAS_0028
PROP_ZOU_TAOFEN_1930_A,SCH_ZOU_TAOFEN,抗日救亡舆论——报刊应为民众喉舌，动员全民抗日救国。,1930,CONCEPT_FOURTH_ESTATE,PAS_0029
PROP_FAN_CHANGJIANG_1936_A,SCH_FAN_CHANGJIANG,现代通讯报道——以亲身采访为基础，开创中国现代新闻通讯体裁。,1936,CONCEPT_OBJECTIVITY,PAS_0030
PROP_LU_XUN_1918_A,SCH_LU_XUN,以笔为枪的杂文——杂文是匕首和投枪，应当揭露社会黑暗、唤醒民众。,1918,CONCEPT_FOURTH_ESTATE,PAS_0031
PROP_MAO_ZEDONG_1919_A,SCH_MAO_ZEDONG,党报理论——报纸是党的喉舌，是党联系群众的桥梁和纽带。,1919,CONCEPT_PROPAGANDA,PAS_0032
PROP_XU_BAOHUANG_1918_A,SCH_XU_BAOHUANG,新闻教育——新闻学是一门独立学科，记者需要系统的专业教育。,1918,CONCEPT_OBJECTIVITY,PAS_0033
PROP_LASSWELL_1948_A,SCH_LASSWELL,传播过程可以用5W模式描述：谁（Who）、说什么（Says What）、通过什么渠道（In Which Channel）、对谁说（To Whom）、取得什么效果（With What Effect）。,1948,CONCEPT_5W_MODEL,PAS_0016
PROP_LEWIN_1947_A,SCH_LEWIN,信息在传播渠道中流动时，必须经过某些「把关人」的筛选，他们决定哪些信息可以继续传播。,1947,CONCEPT_GATEKEEPER,PAS_0017
PROP_HOVLAND_1953_A,SCH_HOVLAND,说服效果取决于信息来源的可信度、信息内容的组织方式以及受众的心理特征。,1953,CONCEPT_PERSUASION,PAS_0018
PROP_SHANNON_1948_A,SCH_SHANNON,通信的基本问题是在一点精确地或近似地复现在另一点所选取的讯息，信息可以用数学方法量化。,1948,CONCEPT_INFORMATION_THEORY,PAS_0019
